M(z=0.0) M/M0(z=0.27) M/M0(z=0.62) M/M0(z=1.0) M/M0(z=1.74) M/M0(z=2.48) M/M0(z=3.98) M/M0(z=5.49) res_star M_star ExpFit
11.482267 0.024599075 -0.09639263 -0.11123085 -0.35550308 -0.6342087 -0.85785675 -1.3125534 0.06025505 9.446573 9.386318
11.456749 -0.040218353 -0.04414177 -0.15247822 -0.25886917 -0.4666214 -0.9657011 -1.0772486 0.2741289 9.625641 9.351512
11.468932 0.00015258789 -0.061182022 -0.31145477 -0.53982925 -0.6538496 -1.1341944 -1.3388233 -0.018826485 9.349341 9.368168
11.498704 -0.029941559 -0.086019516 -0.15305614 -0.2937231 -0.85571575 -1.1541395 -1.8901186 -0.021654129 9.386922 9.408576
11.438518 -0.028254509 -0.15431404 -0.17491817 -0.68239975 -0.74768543 -1.0955381 -1.7432289 -0.46290016 8.863553 9.326453
11.456522 -0.009800911 -0.014144897 -0.37373638 -0.50843143 -0.8997507 -0.99070644 -1.4512281 -0.06398296 9.287217 9.3512
11.466072 0.048362732 -0.13114929 -0.099630356 -0.48707294 -0.5597906 -0.8676939 -1.2014122 0.3460579 9.710322 9.3642645
11.464807 -0.10770321 -0.15885353 -0.20306301 -0.3503027 -0.5290499 -0.8036766 -1.5824823 0.037371635 9.399907 9.362535
11.409058 -0.045612335 -0.08487129 -0.21231937 -0.2002306 -0.81067944 -1.4276018 -2.0281 0.28923607 9.574861 9.2856245
11.484417 0.00078582764 -0.53206825 -0.687768 -0.86262417 -0.93774223 -1.481102 -1.8472643 -0.5706186 8.818619 9.389237
11.483188 -0.115758896 -0.68233013 -0.54563904 -0.85394 -1.0474453 -1.6464024 -1.8746023 -0.4887457 8.898822 9.3875675
11.422785 -0.039836884 -0.10523224 -0.1516285 -0.15425873 -0.8931837 -1.4249573 -2.0356379 0.10068321 9.405384 9.304701
11.431824 -0.032177925 -0.14428425 -0.21391869 -0.32463455 -0.41773605 -0.88472366 -0.930418 -0.06562042 9.251593 9.317213
11.428465 -0.016572952 -0.084171295 -0.12078571 -0.18412781 -0.30503464 -0.51651764 -0.91357136 0.089650154 9.402219 9.312569
11.4508095 -0.018450737 -0.06548977 -0.13112164 -0.22534847 -0.46319294 -0.6745796 -0.812047 0.117445946 9.460812 9.343366
11.410594 -0.04109001 -0.12543106 -0.333251 -0.67685413 -0.88858414 -1.196578 -1.5355349 -0.10555935 9.182204 9.287764
11.461936 -0.21309662 -0.24415207 -0.31369877 -0.47053242 -0.57660866 -1.1427269 -1.7012873 -0.26726627 9.091346 9.358612
11.447453 -0.091272354 -0.14544392 -0.16382122 -0.31853008 -0.4510336 -1.3009939 -1.5323353 0.297287 9.636042 9.338755
11.478996 -0.12363052 -0.18663883 -0.122816086 -0.7157545 -0.95205975 -1.367033 -1.6357126 -0.25167656 9.130198 9.381874
11.420931 -0.0902338 -0.14126968 -0.2395792 -0.28388023 -0.7437496 -1.074338 -1.2831154 0.04873562 9.350865 9.30213
11.497181 -0.0367136 -0.30978394 -0.3362751 -0.875865 -1.0636415 -1.7112751 -1.779314 -0.17661858 9.2299 9.406519
11.449321 -0.053854942 -0.13413048 -0.14033985 -0.60704136 -0.979084 -1.2620535 -1.8469305 0.0201025 9.361424 9.341322
11.444052 -0.21509647 -0.29887867 -0.35187244 -0.4650526 -0.85535336 -1.932992 -2.2497015 0.0910368 9.425114 9.334077
11.476852 -0.024859428 -0.50132847 -0.6192589 -0.7036438 -0.85042953 -1.3500881 -1.6091833 0.2153492 9.594308 9.378959
11.423237 -0.2345438 -0.24429321 -0.31690693 -0.6086893 -0.8599987 -1.1690226 -1.3725309 -0.6378145 8.667514 9.305328
11.4172 -0.2105093 -0.34936714 -0.6808853 -0.79696083 -0.9684658 -1.2668371 -1.4352226 -0.48008156 8.81687 9.296951
11.44057 -0.14653397 -0.22878742 -0.16895866 -0.63884354 -0.7421694 -1.0287361 -1.2121458 0.03625393 9.365537 9.329283
11.490741 -0.04681492 -0.10004425 -0.15126705 -0.20348454 -0.5020466 -1.3624868 -1.5491161 0.023805618 9.421615 9.397809
11.491756 0.006836891 -0.12846279 -0.22207451 -0.2556944 -0.6893215 -0.93498516 -1.1413565 0.19421577 9.593399 9.399183
11.446453 -0.15016365 -0.04525757 -0.11619949 -0.26385212 -0.27528763 -0.7214699 -1.5094242 0.22092152 9.558301 9.337379
11.462419 0.014766693 -0.06321049 -0.08698177 -0.425992 -0.6548958 -0.91404533 -1.047884 0.10727978 9.466552 9.359272
11.486345 -0.0045394897 -0.112849236 -0.07000637 -0.5845499 -0.69129467 -0.9316578 -1.0246506 0.070046425 9.461898 9.391851
11.490256 -0.054330826 -0.10792923 -0.16079712 -0.2687664 -0.32328796 -0.7854004 -1.1824541 0.29528332 9.692436 9.397153
11.4746475 0.00023365021 -0.13570023 -0.1999731 -0.24604702 -0.6246786 -1.6263762 -1.6703262 0.047353745 9.423311 9.3759575
11.444931 0.12681389 -0.04544449 -0.28158283 -0.49046898 -0.87992096 -1.1582937 -1.3849897 -0.28357887 9.051707 9.335286
11.439717 -0.01184845 -0.053575516 -0.30266666 -0.48736858 -0.55147266 -1.8564615 -2.0800533 0.35310745 9.681214 9.328107
11.487323 0.007417679 0.023814201 -0.11026859 -0.22768974 -0.29640293 -0.7922363 -1.1626387 0.6243086 10.017488 9.393179
11.4779005 -0.033381462 -0.053383827 -0.15281487 -0.46652985 -0.58285904 -1.084651 -1.281003 0.021692276 9.402077 9.380384
11.495109 -0.06461811 -0.06811714 -0.46806145 -1.1087818 -1.1617594 -1.9855909 -2.3443928 -0.5464649 8.857253 9.403718
11.460675 -0.0034036636 -0.20316315 -0.23789787 -0.7589855 -0.9178486 -1.3391666 -1.5763903 0.01670456 9.373592 9.356888
11.436712 -0.09842968 -0.1461935 -0.08960152 -0.5482092 -0.96327305 -1.1179829 -1.3534727 -0.25866413 9.065299 9.323963
11.486736 -0.140728 -0.3026619 -0.35618305 -0.5884628 -0.91350746 -1.2256222 -1.6090212 0.17958736 9.57197 9.392383
11.405675 -0.16316319 -0.21311665 -0.61480904 -0.637805 -0.7709484 -1.3703518 -1.5905151 -0.18630886 9.0946 9.280909
11.459896 0.017255783 -0.04382515 -0.10558987 -0.45916653 -1.0684681 -1.6949348 -2.2347317 0.10782242 9.463643 9.355821
11.474446 -0.019481659 -0.25086212 -0.5282736 -0.5033846 -1.2182894 -1.6398487 -1.8938074 -0.65985775 8.715826 9.375684
11.486704 -0.21536064 -0.34106636 -0.5369272 -0.7094717 -0.8334942 -1.013937 -1.487874 -0.57730865 8.815029 9.392338
11.401493 0.3987007 0.35636425 -0.036255836 -0.24869823 -0.7904539 -0.99648666 -1.0856504 0.2411766 9.51625 9.275073
11.457168 -0.031187057 -0.05145359 -0.12794209 -0.56028557 -1.0434027 -1.4425964 -1.936964 0.047245026 9.39933 9.352085
11.4464 -0.066399574 -0.049970627 -0.33089924 -0.57974815 -0.73102665 -1.0755329 -1.5904036 -0.13177204 9.205534 9.337306
11.487826 -0.061882973 -0.17781734 -0.31424236 -0.56149673 -0.6852331 -1.2941151 -1.4141779 -0.0032596588 9.3906 9.39386
11.477069 -0.003663063 -0.047506332 -0.18806267 -0.44642258 -0.70192814 -0.92182446 -1.2290192 0.038129807 9.417383 9.379253
11.499433 0.012703896 -0.21073437 -0.2826481 -0.37667942 -0.5285311 -1.0729465 -1.4199209 -0.17520523 9.234354 9.409559
11.421025 -0.21748066 -0.21545315 -0.28594685 -0.5182915 -0.72272396 -1.0041885 -1.4196978 -0.28201962 9.020242 9.302261
11.495971 0.04530716 -0.14953518 -0.22100449 -0.41917133 -0.8342953 -1.3279495 -1.4347258 0.23469162 9.639575 9.404883
11.4832535 -0.07738209 -0.32155514 -0.41282177 -0.44876003 -0.8685589 -1.608861 -1.7819614 0.30430603 9.691965 9.387659
11.414092 0.014466286 -0.010976791 -0.18021107 -0.3543682 -0.2906618 -0.9814749 -1.0960827 0.24283504 9.535466 9.292631
11.46321 -0.04792595 -0.09379196 -0.15369034 -0.267457 -0.7635107 -1.289794 -2.3089771 0.043291092 9.4036455 9.360354
11.482958 -0.0027360916 -0.08325195 -0.095749855 -0.39138508 -0.4873457 -0.89451694 -1.4947767 0.109360695 9.496618 9.387258
11.412279 0.124507904 -0.036064148 -0.06832504 -0.4722576 -0.5460348 -1.0621023 -1.4917297 0.12256718 9.412677 9.29011
11.464206 -0.004430771 -0.09346676 -0.20791054 -0.28622246 -0.6117039 -1.1113605 -1.2417269 -0.17479992 9.186915 9.361715
11.471875 -0.012134552 -0.11114311 -0.1503725 -0.3789692 -0.53432655 -0.8942642 -1.1611319 0.36347866 9.73566 9.372181
11.445344 -0.08385086 -0.13533497 -0.13445473 -0.35114956 -0.4888897 -0.7001362 -1.3755074 -0.22912407 9.10673 9.335855
11.463812 0.002448082 -0.26631165 -0.37548828 -0.7613287 -1.1105232 -1.354559 -2.1242476 0.091412544 9.452589 9.3611765
11.486736 -0.06844807 -0.06434822 -0.20715332 -0.33299446 -0.34443378 -0.86078644 -1.1779518 -0.12622452 9.266158 9.392383
11.471318 0.011622429 -0.067788124 -0.24262905 -0.47732353 -0.7850914 -1.8999624 -2.4966936 0.2232027 9.5946245 9.371422
11.409797 -0.06720257 -0.09839535 -0.1494503 -0.41554928 -0.4990139 -0.8323183 -1.2962914 -0.0013523102 9.285301 9.2866535
11.417067 -0.056159973 -0.11608124 -0.1409092 -0.49227905 -1.0193958 -1.2003126 -1.8677044 -0.3258772 8.970889 9.296766
11.404417 -0.23456764 -0.3658371 -0.47684574 -0.83292675 -1.1965485 -1.707118 -2.0956326 -0.40790462 8.871249 9.279154
11.449622 -0.04959774 -0.035471916 -0.17550564 -0.41902256 -0.5312376 -0.8637667 -1.0774813 -0.09820175 9.243533 9.341735
11.416703 -0.024222374 -0.022686958 -0.15523338 -0.29485416 -0.3918209 -0.81694126 -1.5677233 0.33499432 9.631255 9.296261
11.467607 -0.0057048798 -0.08056164 -0.15496254 -0.19152832 -0.42208767 -0.6850672 -1.370966 0.23417377 9.6005335 9.36636
11.495859 -0.03167057 -0.082286835 -0.21596146 -0.27883244 -0.53506374 -0.9156141 -1.3040714 0.05999565 9.464727 9.404732
11.445236 -0.2237463 -0.27319622 -0.32225704 -0.35622025 -0.61512184 -1.2092037 -2.1011238 0.09618187 9.431888 9.335706
11.407399 0.01726818 -0.076911926 -0.081463814 -0.4084692 -0.42589092 -0.9558296 -1.2233896 0.12826633 9.41158 9.283314
11.431897 0.1394186 -0.009018898 -0.112760544 -0.1783514 -0.29110909 -0.9394007 -1.146553 0.22823715 9.545551 9.317314
11.479808 -0.10344601 -0.14486217 -0.3911581 -0.52490234 -0.6620569 -0.93884563 -1.2297869 -0.4091797 8.973798 9.3829775
11.467675 -0.08817482 -0.179183 -0.28602695 -0.6739073 -0.7288008 -1.3240786 -1.8779478 -0.2888174 9.077636 9.366453
11.479974 -0.005259514 -0.10413742 -0.12004757 -0.268898 -0.68572426 -0.93586063 -1.3668537 0.1568842 9.540088 9.3832035
11.466874 -0.18524933 -0.3084936 -0.36903477 -0.5077219 -1.0351801 -1.4670429 -1.7293692 -0.04520607 9.320154 9.36536
11.482777 -0.17957306 -0.18732166 -0.27683163 -0.6825514 -0.8685684 -1.0236778 -1.386136 0.04670334 9.433714 9.387011
11.461056 -0.061947823 -0.10147858 -0.18534756 -0.37893105 -0.61024094 -1.3668213 -2.57417 0.06147957 9.418887 9.357408
11.489982 -0.0028381348 -0.17724037 -0.28628063 -0.38061237 -0.54460144 -1.0800877 -2.0987568 -0.055600166 9.34118 9.39678
11.493155 -0.10144329 -0.364789 -0.3949566 -0.74947643 -0.78584194 -1.6127996 -1.9480438 -0.5313349 8.8697405 9.401075
11.40054 -0.010718346 -0.15316868 -0.09409332 -0.4129753 -0.60564995 -0.85857296 -1.4002104 0.28312492 9.556868 9.273743
11.427701 0.04813385 -0.030910492 -0.16415596 -0.30774307 -0.4684391 -1.2844639 -1.7156115 0.28192902 9.59344 9.311511
11.493251 0.013381958 -0.03583908 -0.5169344 -0.6153374 -0.6858053 -0.96557236 -1.4124928 -0.015235901 9.38597 9.401206
11.464309 0.05445957 -0.11268425 -0.15800953 -0.42737675 -0.5636425 -0.8205261 -1.1538105 0.20612907 9.567985 9.3618555
11.410069 -0.06770229 -0.10990906 -0.29721928 -0.45157623 -0.6275301 -0.89701176 -1.38974 -0.1237421 9.163292 9.287034
11.462746 -0.22318745 -0.27922726 -0.5082836 -0.65204334 -0.81715107 -1.0466747 -1.6245079 -0.2493515 9.110367 9.359718
11.474345 -0.039152145 -0.082390785 -0.14332104 -0.32422924 -0.31565285 -0.8339796 -0.9810457 -0.30736828 9.068177 9.3755455
11.481543 0.029193878 -0.040555954 -0.17583656 -0.39875698 -0.58314323 -1.0176105 -1.6915665 0.04825306 9.433587 9.385334
11.403628 -0.02979374 -0.14997101 -0.23303604 -0.3303175 -0.5128708 -0.6729431 -0.99412346 -0.013132095 9.264922 9.278054
11.497387 0.08247757 -0.25322056 -0.39815426 -0.58629704 -0.62917614 -1.3861961 -1.6072721 -0.062457085 9.344338 9.4067955
11.484826 -0.004901886 -0.22538567 -0.2739954 -0.35264874 -0.6392555 -0.9484892 -1.1755514 0.03671837 9.42651 9.3897915
11.4215555 0.052220345 -0.39128208 -0.4469309 -0.46626186 -0.86478424 -1.1280022 -1.5511847 -0.1036644 9.199332 9.302997
11.499084 -0.14242077 -0.32600403 -0.3290329 -0.49186993 -0.6300621 -1.0312223 -1.6877651 -0.1379118 9.271178 9.40909
11.492673 -0.039780617 -0.11340237 -0.20995235 -0.2536049 -0.6196842 -0.827528 -1.2474546 -0.16234303 9.23808 9.400423
11.411911 -0.03134823 -0.13036442 -0.23026276 -0.5881214 -0.76496315 -1.1672611 -1.4415436 -0.24710655 9.042491 9.2895975
11.467232 0.01674366 -0.36250877 -0.3676815 -0.58320713 -0.8780184 -1.1487417 -1.4973993 -0.4576931 8.9081545 9.365848
11.441475 -0.038103104 -0.07874489 -0.119805336 -0.17863846 -0.3671522 -0.6555691 -1.0248289 0.18030357 9.510832 9.330528
11.477502 0.041614532 -0.16724777 -0.21016216 -0.5093336 -0.74690914 -1.3260803 -1.3682489 -0.2870636 9.092779 9.379843
11.443818 -0.005719185 -0.28446674 -0.59582996 -0.9155464 -1.1873837 -1.3622313 -1.7618303 -0.122823715 9.210932 9.3337555
11.453719 -0.0042028427 -0.036690712 -0.086997986 -0.38516045 -0.9403553 -1.4362593 -1.8294268 0.30913925 9.656498 9.347359
11.445218 0.09382725 -0.17596531 -0.24981594 -0.31622124 -0.47415638 -1.0366869 -1.4325838 -0.18801117 9.147671 9.335682
11.408298 0.007293701 -0.15161419 -0.44034386 -0.68059444 -1.0372181 -1.2971067 -1.7997122 -0.17621899 9.108347 9.284566
11.478682 -0.13310146 -0.3282833 -0.7166481 -1.2183895 -1.4920425 -1.7448492 -2.0915346 -0.47690487 8.904542 9.381447
11.431861 -0.027936935 -0.1118145 -0.19868088 -0.44091606 -0.6211586 -1.1480732 -1.4625645 -0.054543495 9.262721 9.317265
11.436639 -0.25479317 -0.5079479 -0.56653786 -0.6828928 -0.9689474 -1.2912512 -2.0294752 -0.8554392 8.468423 9.323862
11.470862 0.06543064 -0.23776913 -0.38359928 -0.39788914 -0.85038376 -1.3444719 -1.6169596 -0.18095398 9.189846 9.3708
11.469017 -0.034301758 -0.102274895 -0.27893543 -0.3624525 -0.9392681 -1.771718 -2.0717459 -0.1709547 9.1973295 9.368284
11.494533 -0.023231506 -0.07295799 -0.35504723 -0.8469095 -0.99312687 -1.2605352 -1.8022776 0.22180748 9.624746 9.402939
11.44151 -0.017106056 -0.37827396 -0.49499893 -0.62788296 -0.85203934 -2.0265903 -2.398428 -0.46912098 8.861457 9.330578
11.478897 -0.38349724 -0.445467 -0.50194836 -0.6711407 -0.80966663 -1.7629471 -1.8956413 -0.9767628 8.404977 9.38174
11.474597 -0.016019821 -0.6156187 -0.60604763 -0.8976469 -1.2783356 -1.8913412 -1.9469185 -0.48808002 8.887809 9.375889
11.498483 -0.14705849 -0.21086597 -0.27798367 -0.39301395 -0.64005756 -1.1862764 -1.7175121 -0.12704754 9.281229 9.408277
11.474413 -0.058763504 -0.09624863 -0.15958595 -0.2305603 -0.512743 -0.9366255 -1.5798178 -0.08773136 9.287907 9.375638
11.485807 -0.031754494 -0.06687069 -0.17311478 -0.19187355 -0.32954788 -0.5238104 -0.92903614 0.4458933 9.837016 9.391123
11.496751 -0.022891998 -0.07063866 -0.14946079 -0.2003107 -0.60031223 -1.2221565 -1.6628847 0.052269936 9.458208 9.405938
11.470947 0.04531765 -0.029346466 -0.17470837 -0.3754673 -0.74446106 -0.89057064 -1.2554083 -0.35658455 9.014332 9.370916
11.448041 -0.22511387 -0.30351257 -0.39374924 -0.5016422 -0.5788164 -1.3326168 -1.567028 -0.34659195 8.992971 9.339563
11.494757 -0.07393932 -0.051226616 -0.31996918 -0.7411871 -1.0665894 -1.5845261 -1.7289381 0.0708313 9.474073 9.403242
11.40536 0.0012359619 -0.26725388 -0.3152876 -0.5803728 -0.7677469 -1.3363752 -1.7590885 -0.21180439 9.068666 9.280471
11.451517 0.021081924 -0.2053051 -0.3072033 -0.46241283 -0.5360966 -0.7574396 -1.3894053 0.02174282 9.36608 9.344337
11.468882 -0.046304703 -0.21594906 -0.3129015 -0.4867487 -0.6424761 -1.1227379 -1.4889927 -0.096883774 9.271215 9.368099
11.495971 0.02611351 -0.25160503 -0.35194397 -0.46733093 -0.52678204 -1.0341043 -1.5826797 -0.046482086 9.358401 9.404883
11.472952 -0.047421455 -0.14125252 -0.10494423 -0.5186014 -0.70893574 -0.98481655 -1.3243589 -0.39592552 8.977722 9.373648
11.49554 -0.108392715 -0.1650753 -0.1928091 -0.64163685 -0.9900589 -1.1877375 -1.5047989 -0.30042744 9.103873 9.404301
11.482531 -0.13396263 -0.16826057 -0.27773762 -0.37126255 -0.47659588 -0.7843294 -0.9001894 -0.30945587 9.07722 9.386676
11.486019 -0.14570045 -0.2116642 -0.23358917 -0.6527395 -1.1592121 -1.5215759 -1.9338465 -0.32380676 9.067603 9.39141
11.4554205 -0.052028656 -0.08627987 -0.29337788 -0.49621296 -0.52514267 -0.83854866 -1.0098972 -0.019788742 9.329903 9.349691
11.498356 0.025780678 -0.11458206 -0.19480515 -0.3202734 -0.48281956 -0.81151295 -1.3844662 -0.31839848 9.089706 9.408105
11.440298 -0.042227745 -0.024553299 -0.11170578 -0.636919 -1.1713142 -1.437479 -1.6779194 0.01678276 9.345691 9.328908
11.494133 -0.18478489 -0.33603 -0.4482994 -0.88900566 -0.87437344 -1.7791452 -1.9187737 -0.8709364 8.531463 9.402399
11.468864 -0.038448334 -0.42845917 -0.5222397 -0.52672577 -0.8253088 -1.0366163 -1.4645586 -0.25345993 9.114616 9.368076
11.499037 -0.2276392 -0.3026476 -0.33651257 -0.54546356 -0.66043663 -1.0513706 -1.4514542 -0.16277504 9.24625 9.409025
11.499812 0.018123627 -0.08362579 -0.15048313 -0.28500366 -0.43035793 -0.7252588 -0.8810129 0.0007276535 9.410798 9.41007
11.475183 -0.01255703 -0.1759243 -0.24089336 -0.3468542 -0.5165796 -0.6674261 -1.0334368 -0.17154884 9.205137 9.376686
11.476452 -0.07308006 -0.1376648 -0.18132591 -0.28258133 -0.43097878 -0.7065401 -0.91185 0.09104538 9.46946 9.378414
11.455718 -0.009050369 0.015465736 -0.16627598 -0.69550323 -0.75244236 -1.061863 -1.4795074 0.021386147 9.371485 9.350099
11.478747 -0.01864338 -0.2589407 -0.44926643 -0.5392418 -0.5998421 -0.83045006 -1.0364599 -0.21012783 9.171409 9.3815365
11.497832 -0.017991066 -0.17826462 -0.23976803 -0.3063984 -0.73979187 -1.1125326 -1.5404949 -0.13600159 9.271397 9.407398
11.457725 -0.036263466 -0.11465359 -0.16705227 -0.23116493 -0.53723526 -0.8075228 -1.4039183 0.108244896 9.461093 9.352848
11.495571 -0.00081443787 -0.11847496 -0.10821915 -0.74874973 -0.7974701 -1.0862608 -1.3859301 -0.13033009 9.2740135 9.404344
11.478781 -0.027528763 0.029358864 -0.41463852 -0.67990303 -0.7499571 -1.4407034 -1.906086 -0.20982742 9.171755 9.381582
11.4754505 -0.03665924 -0.092357635 -0.14337921 -0.1540432 -0.68685436 -0.85954475 -1.4681873 -0.045352936 9.331697 9.37705
11.472195 -0.029276848 -0.22603989 -0.26915073 -0.62265015 -0.8710537 -1.4438353 -2.173338 -0.39488792 8.977729 9.372617
11.484613 0.082675934 -0.359869 -0.38777256 -0.5362978 -0.60703087 -0.8766432 -1.1223383 -0.22178078 9.167723 9.3895035
11.433355 -0.016805649 -0.16447926 -0.27172565 -0.4800043 -0.5103531 -1.3244915 -1.6590538 -0.12460995 9.194719 9.319329
11.436548 0.0059919357 -0.3528967 -0.3871336 -0.2553606 -0.80367947 -1.1727047 -1.3805408 -0.1585598 9.165176 9.323736
11.494613 -0.0077781677 -0.247015 -0.29357624 -0.3703928 -0.4828043 -0.8791914 -1.0362091 0.073031425 9.476079 9.403048
